date,product,units,price,discount,marketing_spend,region,returned
2021-04-21,Ergonomic Desk Chair,8.0,247.16,0.05,352.77,Europe,0
2021-04-23,Smart Fitness Watch,3.0,149.67,0.1,288.69,North America,0
2021-04-25,Mechanical Keyboard RGB,19.0,131.33,0.05,348.25,Europe,0
2021-04-27,Ceramic Knife Set,14.0,88.94,0.0,315.58,Europe,0
2021-04-27,Bluetooth Speaker XS,20.0,79.33,0.0,,North America,0
2021-04-27,Smart Fitness Watch,17.0,149.8,0.0,140.39,Asia Pacific,0
2021-04-28,Insulated Steel Bottle,8.0,29.55,0.0,187.57,Asia Pacific,0
2021-04-30,Insulated Steel Bottle,24.0,27.73,0.0,286.03,North America,0
2021-05-03,Bluetooth Speaker XS,14.0,81.58,0.0,343.34,Europe,0
2021-05-06,Ergonomic Desk Chair,6.0,247.86,0.0,400.77,Europe,0
2021-05-07,Smart Fitness Watch,23.0,149.97,0.0,395.23,Europe,0
2021-05-08,Insulated Steel Bottle,22.0,29.8,0.05,487.71,Latin America,0
2021-05-08,Ceramic Knife Set,16.0,86.06,0.0,178.63,Asia Pacific,0
2021-05-10,Wireless Earbuds Pro,19.0,198.46,0.0,82.0,Europe,0
2021-05-10,Ergonomic Desk Chair,14.0,249.08,0.0,205.55,Asia Pacific,0
2021-05-10,Smart Fitness Watch,19.0,149.2,0.0,384.48,Europe,0
2021-05-11,Ceramic Knife Set,3.0,89.45,0.05,247.15,North America,0
2021-05-11,Smart Fitness Watch,10.0,150.14,0.0,418.0,North America,0
2021-05-11,Mechanical Keyboard RGB,19.0,,0.1,297.2,Asia Pacific,0
2021-05-12,Ceramic Knife Set,9.0,89.53,0.15,468.41,Asia Pacific,0
2021-05-14,Ergonomic Desk Chair,20.0,248.93,0.1,476.54,North America,0
2021-05-17,Mechanical Keyboard RGB,,127.47,0.05,81.19,Latin America,0
2021-05-18,Ergonomic Desk Chair,7.0,249.05,0.15,255.39,North America,0
2021-05-19,Insulated Steel Bottle,14.0,30.12,0.05,324.36,Europe,0
2021-05-23,Wireless Earbuds Pro,9.0,200.66,0.0,165.14,Latin America,0
2021-05-24,Ergonomic Desk Chair,23.0,249.81,0.0,233.18,North America,0
2021-05-26,Ergonomic Desk Chair,19.0,251.0,0.15,354.96,Latin America,0
2021-05-27,Insulated Steel Bottle,15.0,29.63,0.0,152.03,Latin America,0
2021-05-27,Aroma Diffuser Mini,20.0,50.3,0.0,320.89,Latin America,0
2021-05-28,Insulated Steel Bottle,14.0,30.41,0.1,363.85,Asia Pacific,0
2021-05-29,Mechanical Keyboard RGB,24.0,128.66,0.1,90.72,North America,0
2021-06-03,Insulated Steel Bottle,6.0,30.09,0.0,273.89,Asia Pacific,0
2021-06-03,Insulated Steel Bottle,21.0,27.59,0.05,168.39,Asia Pacific,0
2021-06-04,Wireless Earbuds Pro,4.0,199.52,0.0,375.97,Europe,0
2021-06-08,Insulated Steel Bottle,8.0,29.87,0.1,135.3,Europe,0
2021-06-09,Smart Fitness Watch,17.0,150.58,0.0,451.51,Latin America,0
2021-06-10,Ergonomic Desk Chair,9.0,250.23,0.0,243.92,Latin America,0
2021-06-11,Smart Fitness Watch,1.0,150.6,0.1,139.1,Europe,0
2021-06-14,Wireless Earbuds Pro,24.0,198.85,0.0,247.11,Europe,0
2021-06-15,Bluetooth Speaker XS,20.0,78.48,0.05,233.93,North America,0
2021-06-15,Aroma Diffuser Mini,14.0,48.59,0.0,243.01,Latin America,0
2021-06-17,Smart Fitness Watch,11.0,149.4,0.0,313.5,Latin America,0
2021-06-19,Wireless Earbuds Pro,21.0,196.29,0.05,284.53,Europe,0
2021-06-21,Mechanical Keyboard RGB,3.0,131.0,0.0,117.4,North America,0
2021-06-22,Bluetooth Speaker XS,9.0,79.07,0.0,79.51,Europe,0
2021-06-30,Wireless Earbuds Pro,14.0,198.38,0.0,378.24,Europe,0
2021-07-01,Wireless Earbuds Pro,9.0,195.21,0.05,301.87,Asia Pacific,0
2021-07-02,Aroma Diffuser Mini,4.0,48.94,0.15,211.55,Latin America,0
2021-07-05,Ergonomic Desk Chair,4.0,248.7,0.2,413.76,North America,0
2021-07-06,Smart Fitness Watch,8.0,147.65,0.0,224.63,Asia Pacific,0
2021-07-06,Mechanical Keyboard RGB,2.0,127.99,0.0,408.18,Latin America,0
2021-07-09,Ceramic Knife Set,9.0,88.96,0.0,187.59,Europe,0
2021-07-09,Smart Fitness Watch,14.0,148.12,0.1,82.78,North America,0
2021-07-10,Ceramic Knife Set,22.0,89.86,0.0,469.69,Latin America,1
2021-07-10,Wireless Earbuds Pro,9.0,197.88,0.2,227.55,Europe,0
2021-07-13,Insulated Steel Bottle,24.0,29.23,0.0,406.71,Asia Pacific,0
2021-07-13,Mechanical Keyboard RGB,23.0,130.77,0.2,175.61,North America,0
2021-07-17,Bluetooth Speaker XS,16.0,78.95,0.1,340.86,Latin America,0
2021-07-17,Insulated Steel Bottle,17.0,29.53,0.1,442.99,Asia Pacific,0
2021-07-20,Insulated Steel Bottle,16.0,29.44,0.0,68.74,Europe,0
2021-07-21,Smart Fitness Watch,12.0,149.01,0.0,423.79,Europe,0
2021-07-21,Mechanical Keyboard RGB,3.0,128.9,0.0,307.1,Latin America,0
2021-07-22,Ergonomic Desk Chair,11.0,248.14,0.0,323.36,Europe,0
2021-07-22,Wireless Earbuds Pro,14.0,199.23,0.0,285.42,North America,0
2021-07-24,Wireless Earbuds Pro,18.0,198.58,0.05,443.51,Latin America,0
2021-07-26,Wireless Earbuds Pro,21.0,201.32,0.0,69.55,Asia Pacific,0
2021-07-27,Wireless Earbuds Pro,21.0,200.22,0.05,167.46,Latin America,0
2021-08-02,Smart Fitness Watch,5.0,146.82,0.05,444.09,Latin America,0
2021-08-04,Ceramic Knife Set,16.0,86.9,0.0,388.56,Asia Pacific,0
2021-08-04,Wireless Earbuds Pro,20.0,198.8,0.2,57.94,Europe,0
2021-08-05,Ceramic Knife Set,5.0,88.41,0.0,282.65,Asia Pacific,0
2021-08-12,Ceramic Knife Set,3.0,88.73,0.0,288.31,North America,0
2021-08-13,Ergonomic Desk Chair,12.0,249.98,0.0,230.4,Europe,0
2021-08-14,Wireless Earbuds Pro,1.0,199.47,0.1,183.83,Latin America,0
2021-08-14,Aroma Diffuser Mini,21.0,49.46,0.0,356.78,Europe,0
2021-08-17,Bluetooth Speaker XS,9.0,81.17,0.0,143.51,Europe,0
2021-08-21,Insulated Steel Bottle,9.0,26.92,0.05,409.53,North America,0
2021-08-23,Ceramic Knife Set,4.0,89.16,0.0,411.37,Europe,1
2021-08-24,Mechanical Keyboard RGB,3.0,128.13,0.05,236.87,Europe,0
2021-08-24,Mechanical Keyboard RGB,17.0,131.15,0.15,177.6,Europe,0
2021-08-25,Bluetooth Speaker XS,2.0,75.69,0.2,,Latin America,0
2021-08-30,Mechanical Keyboard RGB,24.0,125.75,0.0,267.03,Europe,0
2021-08-30,Aroma Diffuser Mini,1.0,49.46,0.0,373.81,Asia Pacific,0
2021-08-31,Mechanical Keyboard RGB,8.0,130.69,0.0,211.49,Europe,0
2021-09-02,Insulated Steel Bottle,13.0,30.16,0.0,324.52,North America,1
2021-09-03,Insulated Steel Bottle,23.0,27.8,0.0,222.12,Europe,0
2021-09-06,Ceramic Knife Set,,91.26,0.0,187.04,Europe,0
2021-09-07,Wireless Earbuds Pro,8.0,197.15,0.2,,Latin America,0
2021-09-07,Ergonomic Desk Chair,12.0,250.96,0.15,51.76,Asia Pacific,0
2021-09-08,Aroma Diffuser Mini,22.0,47.35,0.0,152.24,Europe,0
2021-09-08,Ceramic Knife Set,12.0,88.47,0.0,232.88,Asia Pacific,0
2021-09-11,Aroma Diffuser Mini,14.0,49.96,0.0,433.07,North America,0
2021-09-13,Wireless Earbuds Pro,15.0,196.8,0.0,409.32,Latin America,0
2021-09-18,Smart Fitness Watch,15.0,151.2,0.05,170.22,Asia Pacific,0
2021-09-18,Mechanical Keyboard RGB,9.0,128.46,0.05,160.04,Latin America,0
2021-09-20,Mechanical Keyboard RGB,19.0,129.21,0.15,152.29,Europe,0
2021-09-22,Ergonomic Desk Chair,20.0,250.74,0.1,202.66,North America,0
2021-09-23,Wireless Earbuds Pro,22.0,197.81,0.05,274.19,Latin America,0
2021-09-25,Ceramic Knife Set,8.0,90.59,0.05,247.4,Europe,0
2021-09-26,Ergonomic Desk Chair,,251.46,0.0,148.22,Asia Pacific,0
2021-09-29,Wireless Earbuds Pro,19.0,198.02,0.05,108.7,North America,0
2021-10-01,Bluetooth Speaker XS,6.0,81.05,0.0,55.66,North America,0
2021-10-05,Insulated Steel Bottle,20.0,26.36,0.0,119.28,Asia Pacific,0
2021-10-08,Ergonomic Desk Chair,19.0,249.58,0.0,367.41,Asia Pacific,0
2021-10-12,Ergonomic Desk Chair,4.0,247.16,0.0,159.64,North America,0
2021-10-12,Ceramic Knife Set,23.0,90.41,0.15,260.87,Latin America,0
2021-10-12,Aroma Diffuser Mini,7.0,50.29,0.0,316.09,North America,0
2021-10-13,Bluetooth Speaker XS,4.0,82.12,0.0,449.08,Asia Pacific,0
2021-10-20,Ceramic Knife Set,22.0,91.13,0.0,449.98,Latin America,0
2021-10-21,Wireless Earbuds Pro,12.0,198.75,0.05,385.58,Europe,0
2021-10-22,Wireless Earbuds Pro,13.0,197.38,0.0,65.82,North America,0
2021-10-22,Wireless Earbuds Pro,3.0,199.85,0.2,308.78,Asia Pacific,0
2021-10-28,Smart Fitness Watch,22.0,148.91,0.15,403.96,Europe,0
2021-10-29,Wireless Earbuds Pro,12.0,201.33,0.05,57.78,North America,0
2021-10-30,Aroma Diffuser Mini,2.0,45.75,0.05,297.36,North America,0
2021-11-03,Bluetooth Speaker XS,24.0,82.28,0.0,435.99,Latin America,0
2021-11-07,Mechanical Keyboard RGB,2.0,129.8,0.0,263.35,Asia Pacific,0
2021-11-08,Insulated Steel Bottle,23.0,27.78,0.1,51.85,Europe,0
2021-11-09,Aroma Diffuser Mini,9.0,50.1,0.0,54.96,North America,0
2021-11-13,Aroma Diffuser Mini,1.0,50.95,0.0,237.49,Latin America,0
2021-11-14,Smart Fitness Watch,8.0,149.17,0.05,119.75,Europe,0
2021-11-14,Mechanical Keyboard RGB,23.0,126.35,0.0,349.0,Europe,0
2021-11-14,Mechanical Keyboard RGB,6.0,128.56,0.15,368.96,North America,0
2021-11-16,Insulated Steel Bottle,6.0,30.56,0.0,130.05,Europe,0
2021-11-17,Insulated Steel Bottle,22.0,29.74,0.1,449.84,North America,0
2021-11-23,Mechanical Keyboard RGB,18.0,128.77,0.05,248.86,Latin America,0
2021-11-24,Wireless Earbuds Pro,17.0,200.96,0.1,114.28,Latin America,0
2021-11-26,Aroma Diffuser Mini,12.0,50.11,0.0,393.91,Europe,0
2021-11-26,Ceramic Knife Set,6.0,90.22,0.05,405.49,North America,0
2021-11-27,Insulated Steel Bottle,8.0,28.38,0.15,337.68,Asia Pacific,0
2021-11-30,Smart Fitness Watch,19.0,148.24,0.0,434.06,Latin America,0
2021-12-01,Smart Fitness Watch,10.0,146.45,0.0,381.82,North America,0
2021-12-02,Insulated Steel Bottle,1.0,28.61,0.05,446.99,North America,0
2021-12-03,Mechanical Keyboard RGB,13.0,130.4,0.1,245.25,North America,0
2021-12-04,Bluetooth Speaker XS,17.0,78.69,0.0,386.42,Europe,0
2021-12-04,Ceramic Knife Set,3.0,89.67,0.15,499.89,Asia Pacific,0
2021-12-04,Ceramic Knife Set,8.0,90.67,0.0,376.22,Europe,0
2021-12-05,Insulated Steel Bottle,14.0,29.56,0.0,101.38,Latin America,0
2021-12-06,Wireless Earbuds Pro,3.0,199.71,0.1,283.24,Europe,0
2021-12-08,Bluetooth Speaker XS,16.0,76.96,0.05,314.31,North America,0
2021-12-08,Ceramic Knife Set,13.0,88.52,0.15,128.39,Europe,0
2021-12-12,Insulated Steel Bottle,20.0,31.59,0.2,483.3,North America,0
2021-12-15,Smart Fitness Watch,24.0,149.16,0.0,129.01,Asia Pacific,0
2021-12-19,Ceramic Knife Set,17.0,91.85,0.0,129.9,Europe,0
2021-12-22,Ergonomic Desk Chair,13.0,247.92,0.0,461.83,Europe,0
2021-12-22,Bluetooth Speaker XS,6.0,79.35,0.1,259.34,Europe,0
2021-12-23,Bluetooth Speaker XS,17.0,78.43,0.15,78.43,North America,0
2021-12-24,Ergonomic Desk Chair,14.0,249.89,0.0,319.18,North America,0
2021-12-26,Aroma Diffuser Mini,17.0,50.34,0.0,320.82,Europe,0
2021-12-26,Smart Fitness Watch,8.0,149.9,0.0,79.03,Europe,0
2021-12-29,Ergonomic Desk Chair,11.0,250.56,0.1,487.64,Asia Pacific,0
2021-12-29,Mechanical Keyboard RGB,20.0,128.98,0.0,294.81,Asia Pacific,0
2021-12-30,Mechanical Keyboard RGB,1.0,128.71,0.0,301.91,Latin America,0
2021-12-31,Insulated Steel Bottle,7.0,26.36,0.05,284.05,Asia Pacific,0
2021-12-31,Bluetooth Speaker XS,21.0,79.96,0.1,324.83,Asia Pacific,0
2022-01-05,Aroma Diffuser Mini,21.0,49.26,0.05,168.93,Asia Pacific,0
2022-01-08,Aroma Diffuser Mini,17.0,48.9,0.05,179.26,North America,0
2022-01-09,Ceramic Knife Set,10.0,88.71,0.0,280.1,Asia Pacific,0
2022-01-10,Ceramic Knife Set,11.0,88.94,0.05,413.01,Asia Pacific,0
2022-01-11,Ergonomic Desk Chair,22.0,248.65,0.1,72.44,Europe,0
2022-01-11,Aroma Diffuser Mini,9.0,48.21,0.2,321.53,North America,0
2022-01-13,Ergonomic Desk Chair,9.0,249.36,0.0,413.05,Latin America,0
2022-01-14,Smart Fitness Watch,24.0,149.73,0.0,120.61,Latin America,0
2022-01-15,Ergonomic Desk Chair,5.0,247.84,0.0,56.76,Asia Pacific,0
2022-01-16,Ceramic Knife Set,17.0,88.4,0.0,190.72,Latin America,0
2022-01-20,Bluetooth Speaker XS,9.0,78.69,0.1,314.66,Latin America,0
2022-01-21,Ergonomic Desk Chair,17.0,249.01,0.0,112.23,Latin America,0
2022-01-24,Wireless Earbuds Pro,24.0,198.81,0.0,241.76,Asia Pacific,0
2022-01-24,Bluetooth Speaker XS,21.0,79.99,0.0,298.54,Latin America,0
2022-01-25,Aroma Diffuser Mini,19.0,46.52,0.0,319.5,Asia Pacific,0
2022-01-26,Aroma Diffuser Mini,7.0,46.79,0.0,173.49,Europe,0
2022-01-27,Ergonomic Desk Chair,23.0,249.29,0.0,230.01,Europe,0
2022-01-28,Bluetooth Speaker XS,9.0,78.1,0.0,400.25,Latin America,0
2022-01-30,Ceramic Knife Set,,90.33,0.1,473.55,Europe,0
2022-01-31,Ceramic Knife Set,13.0,90.75,0.05,437.85,Asia Pacific,0
2022-01-31,Mechanical Keyboard RGB,11.0,129.35,0.0,303.93,Europe,0
2022-01-31,Aroma Diffuser Mini,14.0,47.39,0.2,234.63,Latin America,1
2022-02-01,Insulated Steel Bottle,19.0,30.58,0.05,199.83,Asia Pacific,0
2022-02-02,Mechanical Keyboard RGB,11.0,129.3,0.1,106.23,North America,0
2022-02-02,Ceramic Knife Set,13.0,86.77,0.0,97.95,Asia Pacific,0
2022-02-03,Bluetooth Speaker XS,14.0,76.9,0.0,359.76,Europe,0
2022-02-04,Smart Fitness Watch,13.0,151.28,0.0,166.91,North America,0
2022-02-05,Ceramic Knife Set,1.0,91.03,0.0,164.6,Asia Pacific,0
2022-02-05,Bluetooth Speaker XS,8.0,75.22,0.0,499.19,North America,0
2022-02-05,Mechanical Keyboard RGB,12.0,126.96,0.15,134.57,North America,0
2022-02-06,Aroma Diffuser Mini,19.0,50.71,0.0,116.63,North America,1
2022-02-08,Ceramic Knife Set,12.0,88.97,0.0,94.41,Asia Pacific,0
2022-02-08,Ergonomic Desk Chair,8.0,250.05,0.05,310.91,Europe,0
2022-02-09,Bluetooth Speaker XS,8.0,78.91,0.0,332.54,Asia Pacific,0
2022-02-10,Aroma Diffuser Mini,21.0,49.98,0.05,214.35,Europe,0
2022-02-14,Smart Fitness Watch,13.0,149.01,0.05,290.94,Asia Pacific,1
2022-02-17,Smart Fitness Watch,12.0,148.34,0.1,404.78,Asia Pacific,0
2022-02-22,Insulated Steel Bottle,16.0,30.59,0.2,418.15,Asia Pacific,0
2022-02-22,Bluetooth Speaker XS,1.0,79.3,0.0,481.06,Europe,0
2022-02-23,Mechanical Keyboard RGB,13.0,129.98,0.05,420.92,Asia Pacific,0
2022-02-24,Insulated Steel Bottle,7.0,29.24,0.15,304.18,North America,0
2022-03-02,Insulated Steel Bottle,5.0,28.27,0.1,130.85,Asia Pacific,0
2022-03-04,Wireless Earbuds Pro,,201.41,0.0,94.89,North America,0
2022-03-05,Ceramic Knife Set,14.0,89.53,0.15,74.53,Latin America,0
2022-03-08,Bluetooth Speaker XS,23.0,78.47,0.0,349.94,Latin America,0
2022-03-11,Insulated Steel Bottle,13.0,30.92,0.15,413.39,Europe,0
2022-03-14,Wireless Earbuds Pro,15.0,197.02,0.0,278.91,Europe,0
2022-03-18,Mechanical Keyboard RGB,23.0,132.35,0.05,74.62,Latin America,0
2022-03-21,Aroma Diffuser Mini,17.0,48.73,0.15,290.96,Asia Pacific,0
2022-03-23,Ergonomic Desk Chair,15.0,247.1,0.0,471.09,Asia Pacific,0
2022-03-24,Ergonomic Desk Chair,20.0,251.86,0.0,318.93,Asia Pacific,0
2022-03-25,Bluetooth Speaker XS,18.0,78.31,0.0,414.24,Latin America,0
2022-03-28,Insulated Steel Bottle,18.0,29.36,0.2,410.07,North America,0
2022-03-29,Ergonomic Desk Chair,2.0,250.08,0.1,469.46,Europe,0
2022-03-29,Ceramic Knife Set,4.0,90.78,0.1,396.6,North America,0
2022-03-29,Ergonomic Desk Chair,1.0,249.45,0.05,386.47,Latin America,0
2022-03-30,Ergonomic Desk Chair,4.0,248.03,0.1,155.35,North America,0
2022-03-31,Ergonomic Desk Chair,18.0,249.33,0.0,76.97,Asia Pacific,0
2022-04-01,Smart Fitness Watch,5.0,148.37,0.0,282.92,Asia Pacific,0
2022-04-01,Wireless Earbuds Pro,19.0,199.37,0.1,106.0,North America,0
2022-04-04,Insulated Steel Bottle,15.0,31.44,0.0,482.99,Latin America,0
2022-04-05,Ceramic Knife Set,8.0,90.13,0.0,180.47,North America,0
2022-04-05,Insulated Steel Bottle,20.0,29.31,0.0,433.82,Asia Pacific,0
2022-04-05,Smart Fitness Watch,17.0,150.11,0.0,224.43,Asia Pacific,0
2022-04-12,Bluetooth Speaker XS,,80.22,0.15,195.44,Latin America,0
2022-04-13,Bluetooth Speaker XS,12.0,77.38,0.0,470.82,North America,0
2022-04-15,Bluetooth Speaker XS,19.0,79.06,0.1,213.5,Asia Pacific,0
2022-04-16,Mechanical Keyboard RGB,15.0,132.84,0.0,225.63,Asia Pacific,0
2022-04-16,Ergonomic Desk Chair,9.0,250.82,0.0,97.74,North America,0
2022-04-19,Mechanical Keyboard RGB,7.0,128.24,0.0,351.7,North America,0
2022-04-19,Wireless Earbuds Pro,2.0,198.1,0.1,179.98,Europe,0
2022-04-20,Bluetooth Speaker XS,9.0,78.05,0.05,313.52,Latin America,0
2022-04-20,Smart Fitness Watch,10.0,150.3,0.15,316.11,Latin America,0
2022-04-21,Ceramic Knife Set,2.0,91.41,0.05,373.64,North America,0
2022-04-22,Insulated Steel Bottle,19.0,29.87,0.05,385.36,Latin America,0
2022-04-23,Ergonomic Desk Chair,11.0,249.24,0.05,281.5,Asia Pacific,0
2022-04-23,Aroma Diffuser Mini,,48.33,0.15,198.95,North America,0
2022-04-27,Ceramic Knife Set,10.0,89.49,0.1,426.85,North America,0
2022-04-29,Ergonomic Desk Chair,14.0,247.77,0.0,189.44,North America,0
2022-04-30,Mechanical Keyboard RGB,18.0,126.1,0.05,278.38,Europe,0
2022-05-03,Mechanical Keyboard RGB,19.0,131.46,0.05,230.56,Latin America,0
2022-05-03,Ceramic Knife Set,22.0,87.49,0.1,434.79,Europe,0
2022-05-04,Mechanical Keyboard RGB,9.0,128.51,0.0,244.36,Asia Pacific,0
2022-05-04,Bluetooth Speaker XS,7.0,79.98,0.15,223.74,Latin America,0
2022-05-08,Wireless Earbuds Pro,3.0,201.15,0.2,360.42,Europe,0
2022-05-08,Insulated Steel Bottle,20.0,29.39,0.0,321.1,North America,0
2022-05-12,Wireless Earbuds Pro,6.0,197.21,0.15,98.26,Europe,0
2022-05-15,Ergonomic Desk Chair,21.0,248.55,0.0,278.68,North America,0
2022-05-18,Insulated Steel Bottle,2.0,27.98,0.0,380.97,Europe,0
